symbol,side,entry_time,exit_time,rank,score,feature_score,estimated_win_rate,selection_score,entry_price,exit_price,stop_loss,take_profit,risk_pct,net_r,gross_r,cost_r,mfe_r,mae_r,win,close_reason
HEIUSDT,SHORT,2026-06-10T08:15:00+00:00,2026-06-10T08:44:59.999000+00:00,1,24.06,100.0,0.725,77.609,0.09064,0.0914329868,0.0914329868,0.0890540264,0.874875,-1.206801,-1.11536,0.091442,0.176548,-2.105962,False,SL
SPCXUSDT,LONG,2026-06-10T11:25:00+00:00,2026-06-10T11:44:59.999000+00:00,1,35.04,95.38,0.6602,74.5856,164.8,163.6305631047,163.6305631047,167.1388737906,0.70961,-1.252591,-1.139853,0.112738,0.547272,-1.539202,False,SL
SLXUSDT,LONG,2026-06-10T12:30:00+00:00,2026-06-10T12:39:59.999000+00:00,2,24.45,100.0,0.725,77.6675,0.18867,0.1896682061,0.1870899798,0.1918300403,0.837452,0.60019,0.695718,0.095528,1.645549,-0.13291,True,LOCKED_STOP
ZECUSDT,LONG,2026-06-10T12:40:00+00:00,2026-06-10T12:54:59.999000+00:00,1,41.99,99.4,0.6731,77.9517,425.52,426.2482479911,421.8787600447,432.8024799107,0.855715,0.389108,0.482597,0.093489,1.035362,-0.269139,True,LOCKED_STOP
SNDKUSDT,LONG,2026-06-10T13:20:00+00:00,2026-06-10T13:34:59.999000+00:00,1,19.0,91.92,0.6491,70.1798,1630.95,1616.4273701046,1616.4273701046,1659.9952597909,0.89044,-1.201092,-1.111248,0.089843,0.356685,-3.415359,False,SL
ZECUSDT,LONG,2026-06-10T13:40:00+00:00,2026-06-10T13:49:59.999000+00:00,1,35.95,100.0,0.675,77.3925,439.2,443.3637528038,434.1315383944,449.3369232112,1.154021,0.753908,0.823231,0.069323,1.842768,-0.165731,True,LOCKED_STOP
ZECUSDT,LONG,2026-06-10T14:10:00+00:00,2026-06-10T14:19:59.999000+00:00,1,28.55,100.0,0.725,78.2825,442.69,437.8445927121,437.8445927121,452.3808145759,1.094537,-1.163408,-1.090318,0.07309,0.11351,-1.446731,False,SL
QNTXUSDT,SHORT,2026-06-10T16:10:00+00:00,2026-06-10T16:39:59.999000+00:00,1,15.44,97.33,0.7165,74.7727,51.26,51.6298654565,51.6298654565,50.520269087,0.721548,-1.250534,-1.139661,0.110873,0.702958,-1.108511,False,SL
ZECUSDT,SHORT,2026-06-10T17:00:00+00:00,2026-06-10T17:04:59.999000+00:00,1,20.07,89.12,0.6402,68.7219,424.4,428.2122094209,428.2122094209,416.7755811583,0.898259,-1.201444,-1.112383,0.089061,0.0,-1.295836,False,SL
ZECUSDT,SHORT,2026-06-10T20:20:00+00:00,2026-06-10T21:14:59.999000+00:00,1,35.98,100.0,0.725,79.397,413.33,404.6198335326,416.9571573025,406.075685395,0.877545,1.497215,1.588378,0.091163,3.371786,-0.642376,True,AMBIGUOUS_STOP_FIRST
SLXUSDT,SHORT,2026-06-10T22:05:00+00:00,2026-06-10T22:19:59.999000+00:00,1,28.27,95.21,0.6597,73.4719,0.1722,0.1735827413,0.1735827413,0.1694345174,0.802986,-1.225226,-1.125598,0.099628,0.130176,-1.070338,False,SL
SLXUSDT,SHORT,2026-06-10T22:25:00+00:00,2026-06-10T22:44:59.999000+00:00,1,20.96,100.0,0.725,77.144,0.17205,0.1733082098,0.1733082098,0.1695335804,0.731305,-1.247204,-1.137811,0.109394,0.429181,-1.168327,False,SL
SOXLUSDT,SHORT,2026-06-10T23:10:00+00:00,2026-06-10T23:19:59.999000+00:00,1,19.81,98.38,0.7198,76.0351,172.25,171.242009357,173.5594946264,169.6310107473,0.760229,0.648927,0.754158,0.105231,1.756403,-0.57274,True,LOCKED_STOP
SOXLUSDT,LONG,2026-06-10T23:30:00+00:00,2026-06-10T23:59:59.999000+00:00,1,31.71,100.0,0.675,76.7565,174.83,173.2230786718,173.2230786718,178.0438426564,0.919134,-1.194783,-1.107744,0.087038,0.771662,-1.418862,False,SL
SKHYNIXUSDT,LONG,2026-06-11T00:25:00+00:00,2026-06-11T00:29:59.999000+00:00,1,55.34,100.0,0.675,80.301,1361.93,1346.7235915883,1346.7235915883,1392.3428168235,1.116534,-1.160169,-1.088519,0.07165,0.0,-1.096906,False,SL
MUUSDT,LONG,2026-06-11T01:05:00+00:00,2026-06-11T01:19:59.999000+00:00,1,35.14,99.62,0.6738,77.0514,916.11,917.6304082087,908.5079589566,931.3140820869,0.829817,0.382545,0.478952,0.096407,1.064188,-1.940268,True,LOCKED_STOP
BEATUSDT,LONG,2026-06-11T01:30:00+00:00,2026-06-11T01:39:59.999000+00:00,1,42.93,100.0,0.675,78.4395,7.4691,7.4916617998,7.3562910009,7.6947179981,1.510343,0.480255,0.533223,0.052968,1.189621,-0.878476,True,LOCKED_STOP
SKHYNIXUSDT,SHORT,2026-06-11T02:35:00+00:00,2026-06-11T02:39:59.999000+00:00,1,25.17,100.0,0.725,77.7755,1351.74,1363.9504525946,1363.9504525946,1327.3190948107,0.903314,-1.200322,-1.111759,0.088563,0.070431,-1.074489,False,SL
BEATUSDT,LONG,2026-06-11T11:40:00+00:00,2026-06-11T12:04:59.999000+00:00,1,25.43,92.79,0.7019,73.6471,8.6192,8.8582938203,8.5082580508,8.8410838984,1.287149,1.436181,1.498334,0.062153,3.196266,-0.950046,True,AMBIGUOUS_STOP_FIRST
BEATUSDT,LONG,2026-06-11T12:05:00+00:00,2026-06-11T12:09:59.999000+00:00,1,48.24,100.0,0.675,79.236,8.88,8.7640053989,8.7640053989,9.1119892021,1.306246,-1.136762,-1.075518,0.061244,0.756932,-1.541451,False,SL
BEATUSDT,LONG,2026-06-11T12:30:00+00:00,2026-06-11T12:34:59.999000+00:00,1,39.69,100.0,0.675,77.9535,8.9604,8.788434015,8.788434015,9.30433197,1.919178,-1.092765,-1.05108,0.041685,0.493121,-1.339218,False,SL
BEATUSDT,LONG,2026-06-11T12:40:00+00:00,2026-06-11T12:49:59.999000+00:00,1,42.3,100.0,0.675,78.345,8.9729,8.7806758789,8.7806758789,9.3573482422,2.142274,-1.083,-1.045657,0.037343,0.010405,-1.257907,False,SL
BEATUSDT,LONG,2026-06-11T12:50:00+00:00,2026-06-11T13:14:59.999000+00:00,1,30.32,100.0,0.725,78.548,8.8955,9.0784060657,8.6971978759,9.2921042481,2.229241,0.879497,0.915384,0.035887,1.966192,-0.532521,True,LOCKED_STOP
SOXLUSDT,LONG,2026-06-11T13:25:00+00:00,2026-06-11T13:34:59.999000+00:00,1,23.86,100.0,0.725,77.579,193.82,198.3452179131,191.5573910435,198.3452179131,1.167376,1.344352,1.412881,0.06853,2.209838,-0.654112,True,TP
QNTXUSDT,LONG,2026-06-11T13:45:00+00:00,2026-06-11T13:54:59.999000+00:00,1,44.81,100.0,0.675,78.7215,53.3,53.6956897989,52.8625834185,54.1748331629,0.820669,0.732079,0.82956,0.097481,1.920366,-0.2972,True,LOCKED_STOP
BLESSUSDT,LONG,2026-06-11T14:05:00+00:00,2026-06-11T14:14:59.999000+00:00,2,25.09,100.0,0.725,77.7635,0.005865,0.0058136627,0.0058136627,0.0059676746,0.875316,-1.204583,-1.113188,0.091396,0.370101,-1.071346,False,SL
SOXLUSDT,LONG,2026-06-11T16:15:00+00:00,2026-06-11T16:29:59.999000+00:00,1,26.27,100.0,0.725,77.9405,203.46,200.6107032875,200.6107032875,209.158593425,1.400421,-1.127498,-1.070372,0.057126,0.242165,-1.266979,False,SL
MUUSDT,LONG,2026-06-11T17:55:00+00:00,2026-06-11T18:09:59.999000+00:00,1,25.28,84.23,0.6745,68.6769,942.9,944.2820966905,935.9895165474,956.7209669052,0.732897,0.353868,0.463024,0.109156,1.124379,-1.086755,True,LOCKED_STOP
HYPEUSDT,LONG,2026-06-11T18:35:00+00:00,2026-06-11T19:34:59.999000+00:00,1,18.67,91.38,0.6974,71.8181,58.274,59.3504366125,57.7357816937,59.3504366125,0.923599,1.303665,1.390283,0.086618,2.484122,-0.509087,True,TP
SPCXUSDT,LONG,2026-06-11T23:35:00+00:00,2026-06-11T23:49:59.999000+00:00,1,17.55,94.44,0.7072,73.4188,171.04,169.8238838712,169.8238838712,173.4722322575,0.711013,-1.25209,-1.139575,0.112516,0.789398,-1.184097,False,SL
BLESSUSDT,LONG,2026-06-12T02:25:00+00:00,2026-06-12T02:54:59.999000+00:00,1,23.84,100.0,0.725,77.576,0.005556,0.0055891398,0.0055146974,0.0056386053,0.743388,0.658215,0.76583,0.107615,1.815864,-0.266327,True,LOCKED_STOP
SLXUSDT,LONG,2026-06-12T04:00:00+00:00,2026-06-12T04:09:59.999000+00:00,1,37.73,92.58,0.6513,73.3707,0.18476,0.1862039318,0.1831410085,0.187997983,0.876267,0.73963,0.830927,0.091296,1.908596,-0.271774,True,LOCKED_STOP
SKHYNIXUSDT,SHORT,2026-06-12T06:00:00+00:00,2026-06-12T06:04:59.999000+00:00,1,43.65,100.0,0.675,78.5475,1438.15,1450.1347678962,1450.1347678962,1414.1804642076,0.833346,-1.217057,-1.121059,0.095999,0.133503,-1.489391,False,SL
BLESSUSDT,SHORT,2026-06-12T06:30:00+00:00,2026-06-12T06:34:59.999000+00:00,1,25.93,100.0,0.725,77.8895,0.00538,0.0053007616,0.0054196192,0.0053007616,0.736416,1.257006,1.36564,0.108634,4.41705,0.0,True,TP
BLESSUSDT,SHORT,2026-06-12T06:40:00+00:00,2026-06-12T06:44:59.999000+00:00,1,50.16,93.73,0.6549,75.8999,0.005255,0.0053023338,0.0053023338,0.0051603323,0.900739,-1.200892,-1.112076,0.088816,0.169012,-2.492931,False,SL
HEIUSDT,LONG,2026-06-12T07:00:00+00:00,2026-06-12T07:19:59.999000+00:00,1,22.64,91.85,0.6489,70.6853,0.08626,0.0855224233,0.0855224233,0.0877351534,0.855062,-1.209453,-1.115893,0.09356,0.705011,-1.288002,False,SL
SYNUSDT,SHORT,2026-06-12T07:30:00+00:00,2026-06-12T07:49:59.999000+00:00,1,30.23,100.0,0.725,78.5345,0.03129,0.0315780687,0.0315780687,0.0307138626,0.920641,-1.196571,-1.109675,0.086896,0.798421,-1.180274,False,SL
SPCXUSDT,LONG,2026-06-12T09:10:00+00:00,2026-06-12T09:44:59.999000+00:00,2,20.5,100.0,0.725,77.075,174.63,176.3930130261,173.0534374424,177.7831251152,0.902802,0.858749,0.947362,0.088613,2.137562,-0.742121,True,AMBIGUOUS_STOP_FIRST
SYNUSDT,SHORT,2026-06-12T11:05:00+00:00,2026-06-12T11:39:59.999000+00:00,1,34.1,100.0,0.725,79.115,0.03177,0.0319939956,0.0319939956,0.0313220087,0.705054,-1.256371,-1.142905,0.113466,0.089287,-1.339312,False,SL
SOXLUSDT,SHORT,2026-06-12T12:55:00+00:00,2026-06-12T13:09:59.999000+00:00,1,36.02,100.0,0.675,77.403,216.9,216.4330042678,218.8342281637,213.0315436725,0.89176,0.419436,0.509146,0.08971,1.230465,-1.266655,True,LOCKED_STOP
SNDKUSDT,LONG,2026-06-12T15:20:00+00:00,2026-06-12T15:44:59.999000+00:00,1,18.12,100.0,0.725,76.718,1986.66,1971.8014689335,1971.8014689335,2016.377062133,0.747915,-1.239603,-1.132639,0.106964,0.401116,-1.206714,False,SL
ZECUSDT,SHORT,2026-06-12T15:45:00+00:00,2026-06-12T16:04:59.999000+00:00,1,28.59,100.0,0.725,78.2885,419.26,412.6080051668,422.5859974166,412.6080051668,0.793302,1.274538,1.375382,0.100844,2.224896,-0.460012,True,TP
SKHYNIXUSDT,SHORT,2026-06-12T16:30:00+00:00,2026-06-12T17:04:59.999000+00:00,1,14.09,96.48,0.7137,74.0789,1473.84,1485.2495560111,1485.2495560111,1451.0208879778,0.774138,-1.233582,-1.130241,0.103341,0.149874,-1.027209,False,SL
BEATUSDT,LONG,2026-06-12T17:05:00+00:00,2026-06-12T17:14:59.999000+00:00,1,56.89,100.0,0.675,80.5335,11.0333,10.7574675,10.7574675,11.584965,2.5,-1.070981,-1.038981,0.032,0.42272,-1.124596,False,SL
HEIUSDT,SHORT,2026-06-12T20:10:00+00:00,2026-06-12T20:29:59.999000+00:00,1,21.96,89.15,0.6903,71.0227,0.09227,0.0929637483,0.0929637483,0.0908825033,0.751868,-1.240471,-1.134069,0.106402,0.072072,-1.16757,False,SL
BEATUSDT,SHORT,2026-06-13T00:15:00+00:00,2026-06-13T00:34:59.999000+00:00,1,51.56,94.19,0.6564,76.3758,6.5778,6.742245,6.742245,6.24891,2.5,-1.073021,-1.041021,0.032,0.898173,-1.16878,False,SL
HEIUSDT,LONG,2026-06-13T02:05:00+00:00,2026-06-13T02:24:59.999000+00:00,1,32.34,98.54,0.6703,76.0071,0.09991,0.1002558088,0.0986852991,0.1023594019,1.225804,0.493738,0.559002,0.065263,1.298276,-1.10231,True,LOCKED_STOP
HEIUSDT,SHORT,2026-06-13T03:30:00+00:00,2026-06-13T03:34:59.999000+00:00,1,24.03,100.0,0.725,77.6045,0.09661,0.0944849669,0.0976725166,0.0944849669,1.0998,1.337789,1.41053,0.072741,4.451695,-0.263525,True,TP
BEATUSDT,LONG,2026-06-13T08:15:00+00:00,2026-06-13T08:24:59.999000+00:00,1,35.02,98.65,0.6707,76.4727,9.1221,8.9840870353,8.9840870353,9.3981259294,1.512952,-1.11794,-1.065063,0.052877,0.248527,-1.028889,False,SL
HEIUSDT,LONG,2026-06-13T10:15:00+00:00,2026-06-13T10:19:59.999000+00:00,1,44.86,100.0,0.675,78.729,0.09582,0.0947226475,0.0947226475,0.098014705,1.145223,-1.156132,-1.086276,0.069855,1.503619,-1.868133,False,SL
HEIUSDT,SHORT,2026-06-13T10:25:00+00:00,2026-06-13T10:54:59.999000+00:00,1,42.37,100.0,0.675,78.3555,0.09257,0.0917298474,0.0939525556,0.0898048889,1.493524,0.684091,0.737655,0.053565,1.584023,-2.386884,True,LOCKED_STOP
SLXUSDT,LONG,2026-06-13T16:40:00+00:00,2026-06-13T16:59:59.999000+00:00,1,38.53,100.0,0.675,77.7795,0.18661,0.1868917274,0.1852013629,0.1894272742,0.754856,0.36101,0.466991,0.10598,1.199741,-0.546628,True,LOCKED_STOP
BLESSUSDT,LONG,2026-06-13T18:25:00+00:00,2026-06-13T18:34:59.999000+00:00,1,28.97,97.81,0.668,75.0797,0.005612,0.0055653664,0.0055653664,0.0057052672,0.830962,-1.215557,-1.119283,0.096274,0.128663,-1.393845,False,SL
SYNUSDT,LONG,2026-06-13T18:45:00+00:00,2026-06-13T18:49:59.999000+00:00,1,46.9,100.0,0.675,79.035,0.04101,0.0401008945,0.0401008945,0.0428282111,2.21679,-1.080176,-1.044088,0.036088,1.682973,-1.033983,False,SL
SYNUSDT,LONG,2026-06-13T18:50:00+00:00,2026-06-13T18:54:59.999000+00:00,1,50.46,95.1,0.6593,76.7368,0.04166,0.0406572037,0.0406572037,0.0436655925,2.407096,-1.073759,-1.040524,0.033235,0.368968,-1.047072,False,SL
SYNUSDT,SHORT,2026-06-13T19:50:00+00:00,2026-06-13T20:54:59.999000+00:00,1,31.5,100.0,0.725,78.725,0.03695,0.03787375,0.03787375,0.0351025,2.5,-1.073021,-1.041021,0.032,0.692828,-1.201624,False,SL
BEATUSDT,LONG,2026-06-13T23:40:00+00:00,2026-06-13T23:49:59.999000+00:00,1,50.02,100.0,0.675,79.503,7.7331,7.7582543433,7.6073282836,7.9846434329,1.626407,0.488758,0.537946,0.049188,1.212514,-0.051681,True,LOCKED_STOP
SYNUSDT,LONG,2026-06-14T02:30:00+00:00,2026-06-14T02:34:59.999000+00:00,1,42.09,100.0,0.675,78.3135,0.04201,0.0414953756,0.0414953756,0.0430392487,1.225004,-1.145898,-1.080592,0.065306,0.369201,-1.243626,False,SL
SYNUSDT,LONG,2026-06-14T02:55:00+00:00,2026-06-14T03:14:59.999000+00:00,1,43.95,100.0,0.675,78.5925,0.04252,0.0428108077,0.0418463344,0.0438673313,1.58435,0.601545,0.652038,0.050494,1.454728,-0.460169,True,LOCKED_STOP
SLXUSDT,LONG,2026-06-14T04:25:00+00:00,2026-06-14T04:34:59.999000+00:00,1,46.0,100.0,0.675,78.9,0.19277,0.1945074646,0.1912532719,0.1958034562,0.786807,0.842986,0.944663,0.101677,2.16255,-0.448333,True,AMBIGUOUS_STOP_FIRST
SYNUSDT,SHORT,2026-06-14T08:20:00+00:00,2026-06-14T08:39:59.999000+00:00,1,34.34,82.81,0.67,69.2152,0.03927,0.0389060809,0.0399749293,0.0378601414,1.795084,0.658581,0.703147,0.044566,1.489511,-0.269531,True,LOCKED_STOP
BEATUSDT,SHORT,2026-06-14T09:05:00+00:00,2026-06-14T09:24:59.999000+00:00,1,38.13,99.29,0.6727,77.3091,6.4983,6.2549513778,6.6383391374,6.2182217253,2.155012,1.286679,1.323802,0.037123,2.679965,-0.572697,True,AMBIGUOUS_STOP_FIRST
SLXUSDT,LONG,2026-06-14T14:00:00+00:00,2026-06-14T14:09:59.999000+00:00,1,42.89,98.92,0.6715,77.8093,0.20852,0.2062300193,0.2062300193,0.2130999613,1.098207,-1.162859,-1.090013,0.072846,0.716163,-1.135381,False,SL
HEIUSDT,LONG,2026-06-14T16:05:00+00:00,2026-06-14T16:09:59.999000+00:00,1,24.96,87.54,0.6851,70.5421,0.08846,0.0874572398,0.0874572398,0.0904655203,1.133575,-1.157746,-1.087173,0.070573,0.15956,-1.176752,False,SL
HEIUSDT,SHORT,2026-06-14T16:35:00+00:00,2026-06-14T17:29:59.999000+00:00,1,21.07,100.0,0.725,77.1605,0.08635,0.0855329216,0.0871785621,0.0846928758,0.959539,0.806421,0.889795,0.083373,1.967264,-0.410349,True,LOCKED_STOP
SYNUSDT,SHORT,2026-06-14T18:25:00+00:00,2026-06-14T18:39:59.999000+00:00,1,37.16,96.94,0.6652,75.8053,0.03888,0.0388107619,0.0392261907,0.0381876185,0.890408,0.39839,0.488236,0.089846,1.155432,-0.288858,True,LOCKED_STOP
SYNUSDT,LONG,2026-06-15T07:15:00+00:00,2026-06-15T07:39:59.999000+00:00,1,22.34,100.0,0.725,77.351,0.03813,0.0386017234,0.0378181838,0.0387536324,0.817771,1.035108,1.132934,0.097827,2.533544,-0.256561,True,AMBIGUOUS_STOP_FIRST
SYNUSDT,LONG,2026-06-15T09:25:00+00:00,2026-06-15T09:39:59.999000+00:00,1,32.18,93.94,0.6556,73.3243,0.04068,0.0411212304,0.0401539043,0.0417321914,1.293254,0.77928,0.84114,0.061859,1.862779,-0.09504,True,LOCKED_STOP
HEIUSDT,SHORT,2026-06-15T10:35:00+00:00,2026-06-15T13:04:59.999000+00:00,1,28.2,100.0,0.725,78.23,0.07477,0.071694316,0.076307842,0.071694316,2.056763,1.41396,1.452856,0.038896,2.191382,-0.858346,True,TP
HEIUSDT,LONG,2026-06-15T13:40:00+00:00,2026-06-15T13:49:59.999000+00:00,1,22.05,100.0,0.725,77.3075,0.07327,0.0725781466,0.0725781466,0.0746537069,0.944252,-1.189575,-1.104852,0.084723,0.0,-1.488755,False,SL
QNTXUSDT,SHORT,2026-06-15T14:40:00+00:00,2026-06-15T14:54:59.999000+00:00,1,26.25,85.54,0.6287,67.5796,55.98,56.6702511096,56.6702511096,54.5994977808,1.233032,-1.147023,-1.082142,0.064881,0.086925,-1.506698,False,SL
HEIUSDT,SHORT,2026-06-15T15:00:00+00:00,2026-06-15T15:09:59.999000+00:00,1,23.3,86.0,0.6302,67.403,0.07185,0.0716288498,0.0724863783,0.0705772434,0.885704,0.471146,0.56147,0.090324,1.335684,-0.125711,True,LOCKED_STOP
HEIUSDT,SHORT,2026-06-15T15:15:00+00:00,2026-06-15T15:24:59.999000+00:00,1,36.16,92.79,0.7019,75.2566,0.07111,0.0697938916,0.0717680542,0.0697938916,0.925403,1.306937,1.393386,0.086449,3.495153,-0.531871,True,TP
ZECUSDT,LONG,2026-06-15T16:20:00+00:00,2026-06-15T16:54:59.999000+00:00,1,16.49,96.81,0.7148,74.6297,535.75,531.5672421049,531.5672421049,544.1155157902,0.780729,-1.22949,-1.127022,0.102468,0.145837,-1.286233,False,SL
QNTXUSDT,LONG,2026-06-15T17:15:00+00:00,2026-06-15T17:29:59.999000+00:00,1,50.08,100.0,0.675,79.512,60.43,60.5285587379,59.9372063106,61.4155873787,0.815479,0.378732,0.476834,0.098102,1.034916,-0.649359,True,LOCKED_STOP
SLXUSDT,LONG,2026-06-16T03:15:00+00:00,2026-06-16T03:19:59.999000+00:00,1,28.83,98.65,0.6707,75.5442,0.1772,0.175896877,0.175896877,0.1798062461,0.735397,-1.243698,-1.134914,0.108785,0.015348,-1.849403,False,SL
SLXUSDT,LONG,2026-06-16T03:25:00+00:00,2026-06-16T04:34:59.999000+00:00,1,22.1,88.83,0.6393,68.8587,0.17619,0.1748077378,0.1748077378,0.1789545245,0.784529,-1.228374,-1.126402,0.101972,0.889846,-1.620532,False,SL
HEIUSDT,SHORT,2026-06-16T05:45:00+00:00,2026-06-16T05:54:59.999000+00:00,1,23.92,87.69,0.6856,70.4728,0.06969,0.0701840572,0.0701840572,0.0687018856,0.708936,-1.254973,-1.142128,0.112845,0.647698,-1.457321,False,SL
BLESSUSDT,LONG,2026-06-16T09:35:00+00:00,2026-06-16T09:49:59.999000+00:00,1,24.05,100.0,0.725,77.6075,0.006074,0.0059915339,0.0059915339,0.0062389323,1.357691,-1.131542,-1.072618,0.058924,0.218271,-1.054978,False,SL
